Inserted event: {'eventid': 'cowrie.session.connect', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:38:54.845978Z', '_id': ObjectId('6a427ef20b390de159e47bb8')}
Inserted event: {'eventid': 'cowrie.client.version', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:38:54.882353Z', '_id': ObjectId('6a427ef20b390de159e47bb9')}
Inserted event: {'eventid': 'cowrie.client.kex', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:38:54.904841Z', '_id': ObjectId('6a427ef20b390de159e47bba')}
Inserted event: {'eventid': 'cowrie.login.success', 'src_ip': '172.19.0.1', 'username': 'root', 'password': '2004', 'command': None, 'timestamp': '2026-06-23T13:39:03.576352Z', '_id': ObjectId('6a427ef20b390de159e47bbb')}
Inserted event: {'eventid': 'cowrie.client.size', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:39:03.801180Z', '_id': ObjectId('6a427ef20b390de159e47bbc')}
Inserted event: {'eventid': 'cowrie.session.params', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:39:03.819419Z', '_id': ObjectId('6a427ef20b390de159e47bbd')}
Inserted event: {'eventid': 'cowrie.command.input', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'Healthcare-IoT-Deception-Honeypot-Network\\cowrie-logs\\cowrie.json', 'timestamp': '2026-06-23T13:39:51.179103Z', '_id': ObjectId('6a427ef20b390de159e47bbe')}
Inserted event: {'eventid': 'cowrie.command.failed', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'Healthcare-IoT-Deception-Honeypot-Networkcowrie-logscowrie.json ', 'timestamp': '2026-06-23T13:39:51.200836Z', '_id': ObjectId('6a427ef20b390de159e47bbf')}
Inserted event: {'eventid': 'cowrie.command.input', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'notepad Healthcare-IoT-Deception-Honeypot-Network\\cowrie-logs\\cowrie.json', 'timestamp': '2026-06-23T13:40:22.795474Z', '_id': ObjectId('6a427ef20b390de159e47bc0')}
Inserted event: {'eventid': 'cowrie.command.failed', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'notepad Healthcare-IoT-Deception-Honeypot-Networkcowrie-logscowrie.json', 'timestamp': '2026-06-23T13:40:22.815669Z', '_id': ObjectId('6a427ef20b390de159e47bc1')}
Inserted event: {'eventid': 'cowrie.command.input', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'type Healthcare-IoT-Deception-Honeypot-Network\\cowrie-logs\\cowrie.json', 'timestamp': '2026-06-23T13:40:37.748044Z', '_id': ObjectId('6a427ef20b390de159e47bc2')}
Inserted event: {'eventid': 'cowrie.command.failed', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'type Healthcare-IoT-Deception-Honeypot-Networkcowrie-logscowrie.json', 'timestamp': '2026-06-23T13:40:37.769151Z', '_id': ObjectId('6a427ef20b390de159e47bc3')}
Inserted event: {'eventid': 'cowrie.command.input', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': 'exit', 'timestamp': '2026-06-23T13:41:12.797698Z', '_id': ObjectId('6a427ef20b390de159e47bc4')}
Inserted event: {'eventid': 'cowrie.log.closed', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:41:12.824096Z', '_id': ObjectId('6a427ef20b390de159e47bc5')}
Inserted event: {'eventid': 'cowrie.session.closed', 'src_ip': '172.19.0.1', 'username': None, 'password': None, 'command': None, 'timestamp': '2026-06-23T13:41:12.866878Z', '_id': ObjectId('6a427ef20b390de159e47bc6')}
